78130436,Rua General Isidoro Dias (Lot Jd Ikaray),Ikaray,10112,13
78130437,Rua Etevaldo Rodrigues (Lot Jd Ikaray),Ikaray,10112,13
78130438,Rua São Pedro (Lot Jd Ikaray),Ikaray,10112,13
78130439,Rua Cassildo Cesar da Costa (Lot Jd Ikaray),Ikaray,10112,13
78130441,Rua Vasco da Gama (Lot Jd Ikaray),Ikaray,10112,13
78130442,Rua Luiz da Silva (Lot Jd Ikaray),Ikaray,10112,13
78130443,Rua Maria B. da Silva (Lot Jd Ikaray),Ikaray,10112,13
78130444,Rua São Francisco de Assis (Lot Jd Ikaray),Ikaray,10112,13
78130445,Rua General Nelson de Mello (Lot Jd Ikaray),Ikaray,10112,13
78130446,Rua General Odílio Denni (Lot Jd Ikaray),Ikaray,10112,13
78130447,Rua Campo Verde (Lot Jd Ikaray),Ikaray,10112,13
78130448,Avenida Frei Coimbra (Lot Jd Ikaray),Ikaray,10112,13
78130449,Rua José Américo (Lot Jd Ikaray),Ikaray,10112,13
78130450,Rua Vítor Clarindo da Silva (Lot Jd Ikaray),Ikaray,10112,13
78130460,Rua Egito (Lot Prq N Era),Ikaray,10112,13
78130462,Rua Peru (Lot Prq N Era),Ikaray,10112,13
78130464,Rua França (Lot Prq N Era),Ikaray,10112,13
78130466,Rua João Alberto (Lot Prq N Era),Ikaray,10112,13
78130468,Rua Olindo Gonçalo Galvão (Lot Prq N Era),Ikaray,10112,13
78130470,Avenida Alzira Santana (Lot Prq Nova Era),Ikaray,10112,13
78130472,Rua Paraguai (Lot Prq N Era),Ikaray,10112,13
78130480,Rua Holanda (Lot Prq N Era),Ikaray,10112,13
78130490,Rua do Córrego (Lot Prq N Era),Ikaray,10112,13
78130492,Rua Calógeras (Lot Prq N Era),Ikaray,10112,13
78130494,Rua General Odílio Denni (Lot Prq N Era),Ikaray,10112,13
78130500,Rua México (Lot Prq N Era),Ikaray,10112,13
78130510,Rua Brasil (Lot Prq N Era),Ikaray,10112,13
78130520,Rua Equador (Lot Prq N Era),Ikaray,10112,13
78130525,Rua Santa Rosa (Lot Prq N Era),Ikaray,10112,13
78130540,Rua das Missões (Lot Prq N Era),Ikaray,10112,13
78130600,Rua Senhor Divino (Lot Prq N Era),Ikaray,10112,13
78130622,Rua Calógeras (Res S Gonçalo),Ikaray,10112,13
78130624,Rua Rio Amazonas (Res S Gonçalo),Ikaray,10112,13
78130626,Rua Rio Tocantins (Res S Gonçalo),Ikaray,10112,13
78130628,Rua Rio Xingu (Res S Gonçalo),Ikaray,10112,13
78130630,Rua Francisco Mariano de Deus (Res S Gonçalo),Ikaray,10112,13
78130631,Rua Rio Negro (Res S Gonçalo),Ikaray,10112,13
78130633,Rua Cancioneiro (Res S Gonçalo),Ikaray,10112,13
78130634,Avenida Alzira Santana (Res S Gonçalo),Ikaray,10112,13
78130636,Rua Noronha dos Santos (Res S Gonçalo),Ikaray,10112,13
78130642,Rua Francisco Mariano de Deus (Lot S Gerônimo),Ikaray,10112,13
78130643,Rua Noronha dos Santos (Lot S Gerônimo),Ikaray,10112,13
78130646,Rua Cancioneiro (Lot S Gerônimo),Ikaray,10112,13
78130652,Avenida Alzira Santana (Lot S Gerônimo),Ikaray,10112,13
78130660,Rua Noronha dos Santos (Lot Sta Fé),Ikaray,10112,13
78130663,Rua Batista das Neves (Lot Sta Fé),Ikaray,10112,13
78130666,Rua Moreninha (Lot Sta Fé),Ikaray,10112,13
78130669,Rua Cancioneiro (Lot Sta Fé),Ikaray,10112,13
78130670,Rua Rio Xingu (Lot Sta Fé),Ikaray,10112,13
78130673,Rua Rio Negro (Lot Sta Fé),Ikaray,10112,13
78130676,Rua Rio Amazonas (Lot Sta Fé),Ikaray,10112,13
78130679,Rua Rio Tocantins (Lot Sta Fé),Ikaray,10112,13
78130682,Avenida Alzira Santana (Lot Sta Fé),Ikaray,10112,13
78130691,Rua Cecílio Pereira (Res Jd Flores),Ikaray,10112,13
78130693,Rua Batista das Neves (Res Jd Flores),Ikaray,10112,13
78130695,Avenida Jornalista Nilson dos Santos (Res Jd Flores),Ikaray,10112,13
78130697,Rua Moreninha (Res Jd Flores),Ikaray,10112,13
78130699,Rua Cancioneiro (Res Jd Flores),Ikaray,10112,13
78130703,Rua Rio Negro (Res Jd Flores),Ikaray,10112,13
